ID,TIME,Age,Gender,Edu,XP,CRT1,CRT2,CRT3,CRT4,CRT5,CRT6,CRT7,CRTALL7_R,CRTALL7_I,CRTALL6_R,CRTALL6_I,CRTALL3_R,CRTALL3_I,CRT_Time,Familiarity,PBS_Avg,BeliefBias_Sum,AOM_Avg,DN_Avg,NUMERACY_Sum
79,26.95,43,1,2,0,2,1,2,1,3,1,1,4,2,3,2,1,2,11.1064,3,1.307692308,8,4.090909091,2,11
80,17.46666667,39,2,3,0,2,1,1,1,2,2,1,4,3,3,3,2,1,4.3316,3,1.961538462,8,4.272727273,3,11
81,17.68333333,28,2,3,0,2,2,2,2,2,1,1,2,5,1,5,0,3,3.180733333,0,4.384615385,8,3.090909091,3.8,5
82,16.63333333,29,2,3,0,3,1,1,3,2,2,2,2,3,2,2,2,0,3.721683333,3,4.807692308,2,4,2.4,10
83,13.25,42,2,5,1,2,1,1,2,1,2,1,4,3,3,3,2,1,2.5327,1,2.269230769,2,3.909090909,3,10
84,17.15,61,2,2,0,2,3,3,1,3,1,3,2,1,2,1,0,1,2.75125,6,4.115384615,3,3.454545455,1,3
85,26.56666667,36,2,5,2,2,1,1,1,1,1,1,6,1,5,1,2,1,10.28905,0,1.115384615,0,4.545454545,1,11
86,15.83333333,48,2,2,2,2,2,2,3,2,1,2,1,5,1,4,0,3,3.852666667,1,3.692307692,6,3.272727273,2,10
87,9.816666667,36,2,4,1,2,2,2,2,2,1,2,1,6,1,5,0,3,1.64095,0,3.807692308,5,4.727272727,2.8,9
88,14.93333333,51,1,2,1,1,1,1,1,1,2,1,6,1,5,1,3,0,2.853866667,0,1.307692308,5,4.363636364,1,9
89,7.616666667,20,2,3,1,2,2,2,1,2,1,2,2,5,2,4,0,3,1.985533333,7,2.269230769,6,3.636363636,3.2,4
90,17.28333333,36,1,2,2,2,2,2,1,2,2,2,1,6,1,5,0,3,2.3996,0,4.307692308,6,2.454545455,1.8,9
91,16.35,25,2,3,0,1,3,2,3,1,2,2,2,3,2,2,1,1,5.502683333,0,2.769230769,8,3.727272727,1.4,9
92,31.15,57,2,2,2,2,3,2,3,2,2,2,0,5,0,4,0,2,2.18075,7,4.576923077,7,3.272727273,4.4,4
93,23.76666667,59,1,2,1,2,1,2,2,1,2,2,2,5,2,4,1,2,3.53895,0,3.576923077,8,2.909090909,1.8,7
94,16.51666667,26,2,4,2,1,1,1,1,1,1,1,7,0,6,0,3,0,4.43715,0,2.307692308,1,3.545454545,1,11
95,20.71666667,45,2,3,1,2,2,1,2,1,1,1,4,3,3,3,1,2,3.281383333,0,3.115384615,4,4.181818182,1.6,8
96,9.983333333,39,2,3,0,2,1,1,1,1,1,1,6,1,5,1,2,1,2.657816667,7,3.653846154,6,3.363636364,2,9
97,13.56666667,31,2,3,1,1,1,1,1,1,2,1,6,1,5,1,3,0,4.039,0,1.230769231,0,4.090909091,1,11
98,11.96666667,26,1,3,1,2,1,1,1,2,2,1,4,3,3,3,2,1,1.9371,0,5,7,4.454545455,3.2,10
99,23.58333333,51,2,4,2,2,1,2,1,1,3,1,4,2,3,2,1,2,6.390166667,1,2.076923077,1,3.636363636,2.4,11
100,29.98333333,63,2,2,1,1,2,2,2,2,2,1,2,5,1,5,1,2,6.1318,0,3.384615385,7,3.363636364,2.6,9
101,24.58333333,21,1,3,1,2,2,2,1,2,2,2,1,6,1,5,0,3,2.339366667,1,4.653846154,3,3.272727273,4.8,8
102,19.16666667,42,1,4,2,2,1,2,1,1,1,1,5,2,4,2,1,2,4.799866667,1,2.653846154,4,4.272727273,2.6,11
103,23.91666667,58,2,2,0,2,2,1,1,3,2,1,3,3,2,3,1,2,11.67231667,0,5,8,3.636363636,2.6,8
104,13.75,50,1,4,1,1,1,1,1,1,2,2,5,2,5,1,3,0,4.575716667,3,2.307692308,1,3.727272727,1,11
105,21.66666667,48,1,3,0,1,1,1,1,1,1,1,7,0,6,0,3,0,4.034083333,1,2,3,4,1,10
106,14.16666667,59,1,3,1,1,1,1,2,1,1,1,6,1,5,1,3,0,3.386083333,3,1.230769231,0,4.818181818,1,11
